fca_sym,FBgn,fa_sym
CG30184,FBgn0050184,CG30184
CG30222,FBgn0050222,CG30222
CG30268,FBgn0050268,CG30268
CG30270,FBgn0061435,CG30270
CG30271,FBgn0050271,CG30271
CG30275,FBgn0050275,CG30275
CG30278,FBgn0050278,CG30278
CG30284,FBgn0050284,CG30284
CG30324,FBgn0050324,CG30324
CG30325,FBgn0050325,CG30325
CG30350,FBgn0050350,CG30350
CG30355,FBgn0050355,CG30355
CG30356,FBgn0050356,CG30356
CG30357,FBgn0050357,CG30357
CG30376,FBgn0050376,CG30376
CG30378,FBgn0050378,CG30378
CG30383,FBgn0050383,CG30383
CG30384,FBgn0050384,CG30384
CG30385,FBgn0050385,CG30385
CG30391,FBgn0050391,CG30391
CG30393,FBgn0050393,CG30393
CG30398,FBgn0050398,CG30398
CG30412,FBgn0050412,CG30412
CG30416,FBgn0050416,CG30416
CG30429,FBgn0050429,CG30429
CG30432,FBgn0050432,CG30432
CG30447,FBgn0050447,CG30447
CG30460,FBgn0050460,CG30460
CG30466,FBgn0050466,CG30466
CG30472,FBgn0050472,CG30472
CG30484,FBgn0050484,CG30484
CG30485,FBgn0050485,CG30485
CG30487,FBgn0050487,CG30487
CG30491,FBgn0050491,CG30491
CG30496,FBgn0050496,CG30496
CG3062,FBgn0025612,CG3062
CG3085,FBgn0034816,CG3085
CG3092,FBgn0034835,CG3092
CG31007,FBgn0051007,CG31007
CG31008,FBgn0051008,CG31008
CG31010,FBgn0051010,CG31010
CG31013,FBgn0051013,CG31013
CG31029,FBgn0051029,CG31029
CG31050,FBgn0051050,CG31050
CG31055,FBgn0051055,CG31055
CG31068,FBgn0051068,CG31068
CG31093,FBgn0051093,CG31093
CG31099,FBgn0051099,CG31099
CG31115,FBgn0051115,CG31115
CG31125,FBgn0051125,CG31125
CG31128,FBgn0051128,CG31128
CG31139,FBgn0051139,CG31139
CG31141,FBgn0051141,CG31141
CG31161,FBgn0051161,CG31161
CG31174,FBgn0051174,CG31174
CG31178,FBgn0064912,CG31178
CG31204,FBgn0051204,CG31204
CG31206,FBgn0051206,CG31206
CG31213,FBgn0051213,CG31213
CG31220,FBgn0051220,CG31220
CG3123,FBgn0031465,CG3123
CG31230,FBgn0051230,CG31230
CG31231,FBgn0051231,CG31231
CG3124,FBgn0034840,CG3124
CG31244,FBgn0051244,CG31244
CG31245,FBgn0051245,CG31245
CG31275,FBgn0063261,CG31275
CG31279,FBgn0051279,CG31279
CG31286,FBgn0051286,CG31286
CG31287,FBgn0051287,CG31287
CG31294,FBgn0051294,CG31294
CG31327,FBgn0051327,CG31327
CG31347,FBgn0051347,CG31347
CG31358,FBgn0051358,CG31358
CG31360,FBgn0051360,CG31360
CG31391,FBgn0051391,CG31391
CG31404,FBgn0051404,CG31404
CG31406,FBgn0051406,CG31406
CG31407,FBgn0051407,CG31407
CG31415,FBgn0051415,CG31415
CG31459,FBgn0051459,CG31459
CG31465,FBgn0051465,CG31465
CG31467,FBgn0051467,CG31467
CG31468,FBgn0047351,CG31468
CG31473,FBgn0051473,CG31473
CG31482,FBgn0051482,CG31482
CG31525,FBgn0051525,CG31525
CG31528,FBgn0051528,CG31528
CG31533,FBgn0051533,CG31533
CG31538,FBgn0051538,CG31538
CG31542,FBgn0051542,CG31542
CG31546,FBgn0051546,CG31546
CG31551,FBgn0051551,CG31551
CG31600,FBgn0283728,CG31600
CG31601,FBgn0051601,CG31601
CG31609,FBgn0051609,CG31609
CG31624,FBgn0051624,CG31624
CG31627,FBgn0051627,CG31627
CG31639,FBgn0051639,CG31639
CG31642,FBgn0051642,CG31642
CG31644,FBgn0051644,COX6CL
CG3165,FBgn0031484,CG3165
CG31650,FBgn0031673,CG31650
CG31677,FBgn0051677,CG31677
CG31693,FBgn0051693,CG31693
CG31697,FBgn0051697,CG31697
CG31709,FBgn0051709,CG31709
CG31730,FBgn0051730,CG31730
CG31735,FBgn0051735,CG31735
CG31740,FBgn0051740,CG31740
CG31752,FBgn0051752,CG31752
CG31773,FBgn0051773,Fpgs2
CG31776,FBgn0051776,CG31776
CG31784,FBgn0051784,CG31784
CG31787,FBgn0051787,CG31787
CG31798,FBgn0051798,CG31798
CG31802,FBgn0051802,CG31802
CG31804,FBgn0051804,CG31804
CG31805,FBgn0051805,CG31805
CG31806,FBgn0051806,CG31806
CG31807,FBgn0051807,CG31807
CG31815,FBgn0051815,CG31815
CG31816,FBgn0051816,CG31816
CG31817,FBgn0028899,CG31817
CG31819,FBgn0028893,CG31819
CG31820,FBgn0051820,CG31820
CG31826,FBgn0051826,CG31826
CG31848,FBgn0051848,CG31848
CG31861,FBgn0051861,CG31861
CG31867,FBgn0051867,CG31867
CG31870,FBgn0051870,CG31870
CG31875,FBgn0051875,CG31875
CG31897,FBgn0051897,CG31897
CG31909,FBgn0051909,CG31909
CG31910,FBgn0051910,CG31910
CG31913,FBgn0051913,CG31913
CG31921,FBgn0051921,CG31921
CG31924,FBgn0051924,CG31924
CG31933,FBgn0051933,CG31933
CG31948,FBgn0051948,CG31948
CG31949,FBgn0051949,CG31949
CG31952,FBgn0051952,CG31952
CG31957,FBgn0051957,CG31957
CG31960,FBgn0051960,CG31960
CG31988,FBgn0051988,CG31988
CG3199,FBgn0038210,CG3199
CG32022,FBgn0052022,CG32022
CG32026,FBgn0052026,CG32026
CG32061,FBgn0052061,CG32061
CG32079,FBgn0052079,CG32079
CG32081,FBgn0052081,CG32081
CG32085,FBgn0052085,CG32085
CG32086,FBgn0052086,CG32086
CG32087,FBgn0052087,CG32087
CG32106,FBgn0052106,CG32106
CG32110,FBgn0052110,CG32110
CG32112,FBgn0052112,CG32112
CG32117,FBgn0052117,CG32117
CG32119,FBgn0052119,CG32119
CG3213,FBgn0031545,CG3213
CG32148,FBgn0047338,CG32148
CG32161,FBgn0052161,CG32161
CG32163,FBgn0052163,CG32163
CG32181,FBgn0052181,CG32181
CG32192,FBgn0052192,CG32192
CG32219,FBgn0052219,CG32219
CG3222,FBgn0036014,CG3222
CG32228,FBgn0052228,CG32228
CG32232,FBgn0052232,t-Grip128
CG32236,FBgn0046793,CG32236
CG32240,FBgn0052240,CG32240
CG3225,FBgn0031631,CG3225
CG32259,FBgn0052259,CG32259
CG32262,FBgn0052262,CG32262
CG32263,FBgn0052263,CG32263
CG32267,FBgn0052267,Tom5
CG32295,FBgn0260480,CG32295
CG32299,FBgn0052299,CG32299
CG32301,FBgn0052301,CG32301
CG32305,FBgn0052305,CG32305
CG32313,FBgn0052313,CG32313
CG32320,FBgn0052320,CG32320
CG32371,FBgn0052371,CG32371
CG32391,FBgn0052391,CG32391
CG32396,FBgn0052396,βTub65B
CG32436,FBgn0052436,CG32436
CG32437,FBgn0052437,CG32437
CG32440,FBgn0052440,CG32440
CG32445,FBgn0052445,CG32445
CG32450,FBgn0052450,CG32450
CG32454,FBgn0260481,CG32454
CG32457,FBgn0052457,CG32457
CG32459,FBgn0052459,CG32459
CG32461,FBgn0052461,CG32461
CG32462,FBgn0052462,CG32462
CG32487,FBgn0052487,CG32487
CG32488,FBgn0052488,CG32488
CG3251,FBgn0031622,CG3251
CG32548,FBgn0052548,CG32548
CG32568,FBgn0052568,CG32568
CG32572,FBgn0052572,CG32572
CG32588,FBgn0052588,CG32588
CG32591,FBgn0052591,CG32591
CG32639,FBgn0052639,CG32639
CG32643,FBgn0052643,CG32643
CG32650,FBgn0052650,CG32650
CG32651,FBgn0052651,CG32651
CG32655,FBgn0052655,CG32655
CG32686,FBgn0052686,CG32686
CG32706,FBgn0052706,CG32706
CG32712,FBgn0052712,CG32712
CG32713,FBgn0052713,CG32713
CG32718,FBgn0052718,CG32718
CG32719,FBgn0052719,CG32719
CG32720,FBgn0052720,CG32720
CG32727,FBgn0265265,CG32727
CG32755,FBgn0052755,CG32755
CG32756,FBgn0052756,CG32756
CG32797,FBgn0052797,CG32797
CG32806,FBgn0052806,CG32806
CG32811,FBgn0052811,CG32811
CG32812,FBgn0025642,CG32812
CG32832,FBgn0052832,CG32832
CG32845,FBgn0052845,CG32845
CG32846,FBgn0052846,CG32846
CG32847,FBgn0052847,CG32847
CG32944,FBgn0052944,CG32944
CG32945,FBgn0052945,CG32945
CG32971,FBgn0052971,CG32971
CG32983,FBgn0052983,CG32983
CG32986,FBgn0052986,CG32986
CG32987,FBgn0052987,CG32987
CG32988,FBgn0052988,CG32988
CG33017,FBgn0053017,CG33017
CG33054,FBgn0053054,Targ1
CG3306,FBgn0036016,CG3306
CG33060,FBgn0053060,CG33060
CG33061,FBgn0053061,CG33061
CG33062,FBgn0053062,CG33062
CG33098,FBgn0053098,CG33098
CG33125,FBgn0053125,CG33125
CG33136,FBgn0053136,CG33136
CG33140,FBgn0053140,CG33140
CG33158,FBgn0053158,CG33158
CG33170,FBgn0053170,CG33170
CG33189,FBgn0053189,CG33189
CG33191,FBgn0053191,CG33191
CG33223,FBgn0053223,CG33223
CG33225,FBgn0053225,CG33225
CG3323,FBgn0029750,CG3323
CG33233,FBgn0053233,CG33233
CG33234,FBgn0053234,CG33234
CG33235,FBgn0030307,CG33235
CG33252,FBgn0053252,CG33252
CG33278,FBgn0053278,CG33278
CG33284,FBgn0053284,CG33284
CG33285,FBgn0053285,CG33285
CG33286,FBgn0053286,CG33286
CG33287,FBgn0053287,CG33287
CG33293,FBgn0053293,CG33293
CG3330,FBgn0039511,CG3330
CG33308,FBgn0250834,CG33308
CG33309,FBgn0053309,CG33309
CG33310,FBgn0053310,CG33310
CG33322,FBgn0053322,CG33322
CG33340,FBgn0053340,CG33340
CG3345,FBgn0031240,CG3345
CG3347,FBgn0031513,CG3347
CG33489,FBgn0053489,CG33489
CG33490,FBgn0053490,CG33490
CG33523,FBgn0053523,CG33523
CG33552,FBgn0053552,CG33552
CG33665,FBgn0053665,CG33665
CG33666,FBgn0053666,CG33666
CG33667,FBgn0053667,CG33667
CG33668,FBgn0053668,CG33668
CG33673,FBgn0053673,CG33673
CG33704,FBgn0053704,CG33704
CG33710,FBgn0053710,CG33710
CG33773,FBgn0053773,CG33773
CG33791,FBgn0035240,Ogdh2
CG33947,FBgn0083068,CG33947
CG34012,FBgn0054012,CG34012
CG34021,FBgn0054021,CG34021
CG34027,FBgn0054027,CG34027
CG34029,FBgn0054029,CG34029
CG34030,FBgn0054030,CG34030
CG34049,FBgn0054049,CG34049
CG3408,FBgn0036008,CG3408
CG34107,FBgn0083943,CG34107
CG34124,FBgn0083960,CG34124
CG34133,FBgn0083969,CG34133
CG34161,FBgn0085190,CG34161
CG34162,FBgn0085191,CG34162
CG34167,FBgn0085196,CG34167
CG34168,FBgn0085197,CG34168
CG34169,FBgn0085198,CG34169
CG34173,FBgn0085202,CG34173
CG34175,FBgn0085204,CG34175
CG34178,FBgn0085207,CG34178
CG34181,FBgn0085210,CG34181
CG34188,FBgn0085217,CG34188
CG34189,FBgn0085218,CG34189
CG34204,FBgn0085233,CG34204
CG34210,FBgn0085239,CG34210
CG34216,FBgn0085245,CG34216
CG34222,FBgn0250822,CG34222
CG34230,FBgn0085259,CG34230
CG34238,FBgn0085267,CG34238
CG34241,FBgn0250825,CG34241
CG34245,FBgn0085274,CG34245
CG34258,FBgn0085287,CG34258
CG34269,FBgn0085298,CG34269
CG34274,FBgn0085303,CG34274
CG34283,FBgn0085312,CG34283
CG34286,FBgn0085315,CG34286
CG34287,FBgn0085316,CG34287
CG34289,FBgn0085318,CG34289
CG34292,FBgn0085321,CG34292
CG34298,FBgn0085327,CG34298
CG34300,FBgn0085329,CG34300
CG34302,FBgn0085331,CG34302
CG34307,FBgn0085336,CG34307
CG34308,FBgn0085337,CG34308
CG34323,FBgn0085352,CG34323
CG34332,FBgn0085361,CG34332
CG34334,FBgn0263829,CG34334
CG34367,FBgn0085396,CG34367
CG34425,FBgn0085454,CG34425
CG34431,FBgn0085460,CG34431
CG34432,FBgn0085461,CG34432
CG34433,FBgn0085462,CG34433
CG34434,FBgn0250904,CG34434
CG34435,FBgn0085464,CG34435
CG34450,FBgn0085479,CG34450
CG34457,FBgn0085486,CG34457
CG34459,FBgn0085488,CG34459
CG34460,FBgn0085489,CG34460
CG3473,FBgn0028913,CG3473
CG3483,FBgn0035005,CG3483
CG3491,FBgn0028887,CG3491
CG3492,FBgn0035007,CG3492
CG3494,FBgn0035008,CG3494
CG3515,FBgn0031431,CG3515
CG3517,FBgn0038706,CG3517
CG3526,FBgn0040355,CG3526
CG3528,FBgn0031430,CG3528
CG3544,FBgn0031279,CG3544
CG3552,FBgn0035999,CG3552
CG3557,FBgn0031423,CG3557
CG3565,FBgn0035034,CG3565
CG3581,FBgn0038697,CG3581
CG3592,FBgn0029642,CG3592
CG3610,FBgn0038266,CG3610
CG3611,FBgn0035069,CG3611
CG3687,FBgn0034097,CG3687
CG3698,FBgn0037023,CG3698
CG3702,FBgn0031590,CG3702
CG3708,FBgn0040345,CG3708
CG3713,FBgn0040343,CG3713
CG3748,FBgn0032110,CG3748
CG3756,FBgn0031657,Polr1C
CG3788,FBgn0034800,CG3788
CG3795,FBgn0025378,CG3795
CG3809,FBgn0037995,Adk1
CG3894,FBgn0035059,CG3894
CG3919,FBgn0036423,CG3919
CG3927,FBgn0034739,CG3927
CG3942,FBgn0038008,CG3942
CG3955,FBgn0033793,CG3955
CG3982,FBgn0035988,CG3982
CG4021,FBgn0034659,CG4021
CG4073,FBgn0037827,CG4073
CG40813,FBgn0085521,CG40813
CG41106,FBgn0069938,Cnep1r1
CG41562,FBgn0085693,CG41562
CG4161,FBgn0028892,CG4161
CG4198,FBgn0029753,CG4198
CG4213,FBgn0031251,CG4213
CG4218,FBgn0250844,CG4218
CG42232,FBgn0250754,CG42232
CG42263,FBgn0259148,CG42263
CG42266,FBgn0259151,CG42266
CG42287,FBgn0259183,CG42287
CG42288,FBgn0259184,CG42288
CG42299,FBgn0259195,CG42299
CG4230,FBgn0031683,CG4230
CG42300,FBgn0259196,CG42300
CG42302,FBgn0259198,CG42302
CG42355,FBgn0259701,CG42355
CG42360,FBgn0259742,CG42360
CG42364,FBgn0259710,CG42364
CG42383,FBgn0259729,CG42383
CG42391,FBgn0259737,CG42391
CG42393,FBgn0259739,CG42393
CG42395,FBgn0259741,CG42395
CG42446,FBgn0259917,CG42446
CG42493,FBgn0260007,CG42493
CG42512,FBgn0260238,CG42512
CG42523,FBgn0260428,CG42523
CG42531,FBgn0260436,CG42531
CG42535,FBgn0260643,CG42535
CG42536,FBgn0260644,CG42536
CG42553,FBgn0260755,CG42553
CG42554,FBgn0260756,CG42554
CG42556,FBgn0260758,CG42556
CG42559,FBgn0260761,CG42559
CG42570,FBgn0260776,CG42570
CG42571,FBgn0260777,CG42571
CG42577,FBgn0260867,CG42577
CG42579,FBgn0260869,CG42579
CG42588,FBgn0260965,CG42588
CG42592,FBgn0260969,CG42592
CG42597,FBgn0260996,CG42597
CG42615,FBgn0261267,CG42615
CG42650,FBgn0261502,CG42650
CG42654,FBgn0261506,CG42654
CG42655,FBgn0261507,CG42655
CG42658,FBgn0261523,CG42658
CG42659,FBgn0261531,CG42659
CG42668,FBgn0261550,Orp8
CG42675,FBgn0261561,CG42675
CG42685,FBgn0261571,CG42685
CG42688,FBgn0265263,CG42688
CG42691,FBgn0261581,CG42691
CG42692,FBgn0261582,CG42692
CG42693,FBgn0261583,CG42693
CG42697,FBgn0261587,CG42697
CG4270,FBgn0031407,CG4270
CG42703,FBgn0261614,CG42703
CG42710,FBgn0261627,CG42710
CG42733,FBgn0261686,CG42733
CG42752,FBgn0261806,CG42752
CG42753,FBgn0261807,CG42753
CG42758,FBgn0261816,CG42758
CG42764,FBgn0261832,CG42764
CG42766,FBgn0261834,CG42766
CG42797,FBgn0261931,Hecw
CG42810,FBgn0261992,CG42810
CG42814,FBgn0261996,CG42814
CG42816,FBgn0261998,CG42816
CG42820,FBgn0262002,CG42820
CG42827,FBgn0262009,CG42827
CG42828,FBgn0262010,CG42828
CG42830,FBgn0262017,CG42830
CG42831,FBgn0262020,CG42831
CG42841,FBgn0262030,CG42841
CG42847,FBgn0262036,CG42847
CG42851,FBgn0262098,CG42851
CG42853,FBgn0262100,CG42853
CG42854,FBgn0262101,CG42854
CG42855,FBgn0262102,CG42855
CG42857,FBgn0262104,CG42857
CG4286,FBgn0034601,CG4286
CG43049,FBgn0262351,CG43049
CG43050,FBgn0262352,CG43050
CG43052,FBgn0262354,CG43052
CG43054,FBgn0262356,CG43054
CG43058,FBgn0262360,CG43058
CG43062,FBgn0262364,CG43062
CG43068,FBgn0262478,CG43068
CG43069,FBgn0262479,CG43069
CG43070,FBgn0262480,CG43070
CG43072,FBgn0262482,CG43072
CG43075,FBgn0262485,CG43075
CG43076,FBgn0262486,CG43076
CG43077,FBgn0262487,CG43077
CG43088,FBgn0262534,CG43088
CG43089,FBgn0262535,CG43089
CG43098,FBgn0262544,CG43098
CG43106,FBgn0262566,CG43106
CG43108,FBgn0262568,CG43108
CG43115,FBgn0262575,CG43115
CG43121,FBgn0262581,CG43121
CG43127,FBgn0262592,CG43127
CG43136,FBgn0262610,CG43136
CG43137,FBgn0262611,CG43137
CG43138,FBgn0262612,CG43138
CG43167,FBgn0262786,CG43167
CG43168,FBgn0262787,CG43168
CG43169,FBgn0262788,CG43169
CG4318,FBgn0030455,CG4318
CG43183,FBgn0262812,CG43183
CG43188,FBgn0262817,CG43188
CG43195,FBgn0262824,CG43195
CG43203,FBgn0262839,CG43203
CG43204,FBgn0262840,CG43204
CG43206,FBgn0262842,UQCR-6.4L
CG43231,FBgn0262876,CG43231
CG43232,FBgn0262877,CG43232
CG43233,FBgn0262878,CG43233
CG43237,FBgn0262882,CG43237
CG43246,FBgn0262891,CG43246
CG43249,FBgn0262894,CG43249
CG43277,FBgn0262966,CG43277
CG4329,FBgn0034745,tous
CG43290,FBgn0262982,CG43290
CG43292,FBgn0262984,CG43292
CG43293,FBgn0262985,CG43293
CG43296,FBgn0262988,CG43296
CG43312,FBgn0263004,CG43312
CG43317,FBgn0263022,CG43317
CG43318,FBgn0263023,CG43318
CG43321,FBgn0263026,CG43321
CG43322,FBgn0263027,CG43322
CG43325,FBgn0263030,CG43325
CG43329,FBgn0263034,CG43329
CG43331,FBgn0263036,CG43331
CG43338,FBgn0263079,CG43338
CG43339,FBgn0263078,CG43339
CG43371,FBgn0263114,CG43371
CG43376,FBgn0263206,CG43376
CG43393,FBgn0263250,CG43393
CG43401,FBgn0263320,CG43401
CG43405,FBgn0263324,CG43405
CG43438,FBgn0263386,CG43438
CG43447,FBgn0263401,CG43447
CG43449,FBgn0263403,CG43449
CG43450,FBgn0263404,CG43450
CG43638,FBgn0263647,CG43638
CG43672,FBgn0263747,CG43672
CG43675,FBgn0263750,CG43675
CG43691,FBgn0263774,CG43691
CG43702,FBgn0263841,CG43702
CG4372,FBgn0034665,CG4372
CG4375,FBgn0031295,CG4375
CG43750,FBgn0264081,CG43750
CG43755,FBgn0264086,CG43755
CG43760,FBgn0264260,CG43760
CG43783,FBgn0264305,CG43783
CG43796,FBgn0264340,CG43796
CG43800,FBgn0264344,CG43800
CG43814,FBgn0264362,CG43814
CG43815,FBgn0264363,CG43815
CG43843,FBgn0264395,CG43843
CG43844,FBgn0264426,CG43844
CG43845,FBgn0264427,CG43845
CG43851,FBgn0264433,CG43851
CG43880,FBgn0264472,CG43880
CG4390,FBgn0038771,CG4390
CG43915,FBgn0264516,CG43915
CG43922,FBgn0264543,CG43922
CG43935,FBgn0264563,CG43935
CG43996,FBgn0264738,CG43996
CG43997,FBgn0264739,CG43997
CG43998,FBgn0264740,CG43998
CG43999,FBgn0264741,CG43999
CG44037,FBgn0264829,CG44037
CG44044,FBgn0264836,CG44044
CG4415,FBgn0031296,gNacα
CG44158,FBgn0265041,CG44158
CG44163,FBgn0265046,CG44163
CG44227,FBgn0265158,CG44227
CG44259,FBgn0265199,CG44259
CG44271,FBgn0265257,CG44271
CG44296,FBgn0265342,COX7CL
CG44314,FBgn0265373,CG44314
CG44329,FBgn0265417,CG44329
CG44335,FBgn0265423,lncRNA:CR44335
CG44341,FBgn0265429,CG44341
CG4438,FBgn0032115,CG4438
CG44385,FBgn0265535,CG44385
CG44403,FBgn0265576,CG44403
CG44405,FBgn0265578,CG44405
CG44428,FBgn0265610,CG44428
CG44433,FBgn0265625,CG44433
CG44437,FBgn0265629,CG44437
CG44521,FBgn0265714,CG44521
CG44623,FBgn0265834,CG44623
CG4477,FBgn0035971,CG4477
CG44774,FBgn0266000,CG44774
CG4480,FBgn0032553,CG4480
CG4483,FBgn0035970,CG4483
CG4502,FBgn0031896,CG4502
CG45062,FBgn0266432,CG45062
CG45063,FBgn0266433,CG45063
CG45066,FBgn0266436,CG45066
CG45067,FBgn0266437,CG45067
CG4511,FBgn0037843,CG4511
CG45154,FBgn0266647,CG45154
CG4520,FBgn0038355,CG4520
CG45263,FBgn0266801,CG45263
CG4538,FBgn0038745,ClpX
CG45413,FBgn0266962,CG45413
CG45428,FBgn0266977,CG45428
CG4546,FBgn0038373,CG4546
CG45603,FBgn0267163,CG45603
CG45765,FBgn0267412,CG45765
CG46025,FBgn0267689,CG46025
CG4603,FBgn0035593,Yod1
CG46059,FBgn0267726,CG46059
CG4631,FBgn0032590,CG4631
CG4661,FBgn0030429,CG4661
CG4669,FBgn0035598,CG4669
CG4676,FBgn0033815,CG4676
CG4681,FBgn0069913,Tex9
CG4686,FBgn0038739,CG4686
CG4691,FBgn0028870,CG4691
CG4701,FBgn0028868,CG4701
CG4704,FBgn0039029,CG4704
CG4707,FBgn0035036,CG4707
CG4712,FBgn0033818,CG4712
CG4714,FBgn0033819,CG4714
CG4730,FBgn0039355,CG4730
CG4744,FBgn0033834,CG4744
CG4836,FBgn0270925,CG4836
CG4880,FBgn0030803,CG4880
CG4891,FBgn0028520,CG4891
CG4892,FBgn0028884,CG4892
CG4907,FBgn0039010,CG4907
CG4935,FBgn0028897,CG4935
CG4955,FBgn0030814,CG4955
CG4956,FBgn0039370,CG4956
CG4960,FBgn0039371,CG4960
CG4968,FBgn0032214,CG4968
CG4970,FBgn0032364,CG4970
CG4983,FBgn0032371,CG4983
CG4988,FBgn0032372,CG4988
CG4995,FBgn0032219,CG4995
CG5024,FBgn0039373,CG5024
CG5043,FBgn0032636,CG5043
CG5048,FBgn0036437,Dnaaf6
CG5050,FBgn0032637,CG5050
CG5056,FBgn0032231,CG5056
CG5062,FBgn0029747,CG5062
CG5071,FBgn0039347,CG5071
CG5089,FBgn0034144,CG5089
CG5103,FBgn0036784,CG5103
CG5111,FBgn0039343,CG5111
CG5122,FBgn0032471,CG5122
CG5139,FBgn0031323,CG5139
CG5144,FBgn0035957,Argk2
CG5194,FBgn0035955,CG5194
CG5213,FBgn0038345,maca
CG5217,FBgn0038694,CG5217
CG5250,FBgn0038691,CG5250
CG5265,FBgn0038486,CG5265
CG5276,FBgn0037900,CG5276
CG5280,FBgn0035952,CG5280
CG5327,FBgn0034363,CG5327
CG5334,FBgn0030577,CG5334
CG5342,FBgn0037916,CG5342
CG5347,FBgn0030578,CG5347
CG5348,FBgn0034156,CG5348
CG5388,FBgn0038944,CG5388
CG5421,FBgn0032434,CG5421
CG5435,FBgn0032431,CG5435
CG5440,FBgn0031331,CG5440
CG5478,FBgn0038386,CG5478
CG5504,FBgn0002174,CG5504
CG5509,FBgn0038054,CG5509
CG5516,FBgn0038389,CG5516
CG5539,FBgn0034907,CG5539
CG5555,FBgn0038686,CG5555
CG5556,FBgn0031332,CG5556
CG5561,FBgn0031333,CG5561
CG5565,FBgn0031335,CG5565
CG5569,FBgn0034919,NdufAF3
CG5592,FBgn0035645,CG5592
CG5612,FBgn0039529,CG5612
CG5613,FBgn0030839,ENGase
CG5614,FBgn0038359,CG5614
CG5623,FBgn0038357,CG5623
CG5653,FBgn0035943,CG5653
CG5662,FBgn0030620,CG5662
CG5664,FBgn0037082,CG5664
CG5681,FBgn0032658,CG5681
CG5693,FBgn0040989,CG5693
CG5727,FBgn0032193,CG5727
CG5762,FBgn0039190,CG5762
CG5781,FBgn0032448,CG5781
CG5790,FBgn0032677,CG5790
CG5823,FBgn0038515,CG5823
CG5860,FBgn0038506,CG5860
CG5877,FBgn0030625,CG5877
CG5886,FBgn0039379,CG5886
CG5906,FBgn0036217,CG5906
CG5964,FBgn0036206,twy
CG5968,FBgn0032588,CG5968
CG6005,FBgn0038672,CG6005
CG6013,FBgn0038675,CG6013
CG6036,FBgn0039421,Nil
CG6052,FBgn0036747,CG6052
CG6059,FBgn0039491,CG6059
CG6083,FBgn0036183,CG6083
CG6136,FBgn0038332,CG6136
CG6138,FBgn0032268,CG6138
CG6153,FBgn0032445,CG6153
CG6184,FBgn0038725,CG6184
CG6209,FBgn0033862,CG6209
CG6218,FBgn0038321,Nagk
CG6220,FBgn0033865,CG6220
CG6230,FBgn0027582,CG6230
CG6244,FBgn0036531,CG6244
CG6262,FBgn0034121,CG6262
CG6304,FBgn0032624,CG6304
CG6324,FBgn0030647,CG6324
CG6333,FBgn0036731,CG6333
CG6380,FBgn0032632,CG6380
CG6405,FBgn0032428,Fam92
CG6425,FBgn0039449,CG6425
CG6441,FBgn0031920,CG6441
CG6443,FBgn0032290,CG6443
CG6470,FBgn0030933,CG6470
CG6479,FBgn0036710,CG6479
CG6481,FBgn0030936,CG6481
CG6497,FBgn0036704,CG6497
CG6511,FBgn0035923,CG6511
CG6512,FBgn0036702,Afg3l2
CG6527,FBgn0036085,CG6527
CG6565,FBgn0032513,Stard7
CG6569,FBgn0038909,CG6569
CG6576,FBgn0035924,CG6576
CG6614,FBgn0032369,CG6614
CG6628,FBgn0036072,CG6628
CG6629,FBgn0037860,SdhCL
CG6650,FBgn0036402,CG6650
CG6652,FBgn0036687,CG6652
CG6661,FBgn0036403,CG6661
CG6664,FBgn0036685,Ccdc6
CG6674,FBgn0036063,CG6674
CG6693,FBgn0037878,CG6693
CG6701,FBgn0033889,CG6701
CG6752,FBgn0038296,Kpc1
CG6761,FBgn0036031,CG6761
CG6790,FBgn0037915,CG6790
CG6873,FBgn0030951,CG6873
CG6878,FBgn0036488,CG6878
CG6888,FBgn0036490,Prx1
CG6893,FBgn0036807,CG6893
CG6907,FBgn0031711,Elp4
CG6931,FBgn0036236,CG6931
CG6961,FBgn0030959,CG6961
CG6978,FBgn0029727,CG6978
CG6980,FBgn0039228,CG6980
CG6985,FBgn0039017,CG6985
CG6999,FBgn0030085,CG6999
CG7024,FBgn0029722,Pdha2
CG7059,FBgn0038957,CG7059
CG7069,FBgn0038952,CG7069
CG7094,FBgn0032650,CG7094
CG7131,FBgn0038598,CG7131
CG7140,FBgn0037147,CG7140
CG7164,FBgn0031946,CG7164
CG7182,FBgn0035878,CG7182
CG7183,FBgn0038583,CG7183
CG7202,FBgn0037086,CG7202
CG7208,FBgn0038575,CG7208
CG7213,FBgn0035861,CG7213
CG7218,FBgn0038569,CG7218
CG7220,FBgn0033544,CG7220
CG7222,FBgn0033551,CG7222
CG7236,FBgn0031730,CG7236
CG7251,FBgn0031723,CG7251
CG7264,FBgn0036214,CG7264
CG7276,FBgn0036499,CG7276
CG7295,FBgn0031372,CG7295
CG7309,FBgn0032314,CG7309
CG7335,FBgn0036941,CG7335
CG7352,FBgn0037581,CG7352
CG7362,FBgn0038258,CG7362
CG7366,FBgn0035855,CG7366
CG7386,FBgn0035691,CG7386
CG7387,FBgn0035852,CG7387
CG7394,FBgn0036173,CG7394
CG7414,FBgn0037135,eIF2A
CG7423,FBgn0030982,CG7423
CG7453,FBgn0030991,CG7453
CG7514,FBgn0035567,CG7514
CG7551,FBgn0036161,CG7551
CG7557,FBgn0036159,CG7557
CG7573,FBgn0036153,CG7573
CG7634,FBgn0037101,CG7634
CG7653,FBgn0028935,CG7653
CG7656,FBgn0036516,CG7656
